doc_id,text,corn,cotton,rice,soybean,wheat
11,"AROUND 3.5 MLN ACRES SAID TO BE IDLED BY 0/92 A 0/92 program would have very little impact on U.S. acreage, prompting farmers to idle only an additional 3.5 mln acres of cropland every year, according to a report from the Agriculture Department.     The savings resulting from the additional 3.5 mln acres idled would be a little over 400 mln dlrs in loan savings, 35 mln dlrs in transportation and storage savings, and 10-20 mln dlrs per year in deficiency payment savings, the report said.     The USDA report asssessed the impacts of the proposed 0/92 acreage program for wheat, corn, cotton, sorghum and barley. Last year, almost 245 mln acres of those crops were harvested.     ""The likelihood that the 0-92 provisiion will cause very large acreages to be removed from crop production is quite small,"" the report said.     ""The returns on typical farms still favor participation in the usual acreage reduction programs and seeding the permitted acreage,"" the USDA report said.     The 0/92 program, which would allow farmers to forego planting and still receive 92 pct of their deficiency payment, would be most used by producers in high production/high risk areas where cost of production is high, said Keith Collins, director of USDA's economics analysis staff.     ""In the heart of the corn belt, you would not get that much participation,"" Collins said.     USDA estimated that an additional one mln acres of wheat would be ildled under 0/92, 1.5 mln acres of corn, 500,000 acres of sorghum and barley and 500,000 acres of cotton.     Production from these idled acres would be equivalent to 40 mln bushels of wheat, 180 mln bushels of corn, 20 mln bushels of sorghum, 10 mln bushels of barley, and 500,000 bales of cotton, the report said.     ""In determining whether to participate, a producer would need to weigh the expected cash costs of production against the loan rate ... The risk that market prices may rise above the expected levels and reduce the deficiency payment also must be considered,"" according to the analysis.     ""What you're giving up under 0/92 is the difference between the loan rate and the cost of production,"" Collins said.     For producers with low production costs, that difference is greater and can be applied to paying variable costs, he said. Under these cicumstances, farmers would not want to go along with 0/92. But for high cost producers, 0/92 would be more attractive.     Also, as loan rates get lower, Collins said there would be more incentives to participate in a 0/92 program.     ""I would admit that its impacts would be very marginal at first, but it is a step towards the goal of separating production decisions from government payments,"" Collins said.     In a speech earlier today before the National Grains and Feed Association, USDA Secretary Richard Lyng said it is too late to implement 0/92 for 1987 crops since program signup will be over by the end of this month.  Reuter &#3;",1,1,0,0,1
12,"U.S. COULD COMPLAIN TO GATT ON CANADA CORN DUTY U.S. Trade Representative Clayton Yeutter suggested the U.S. could file a formal complaint with the General Agreement on Tariffs and Trade (GATT) challenging Canada's decision to impose duties on U.S. corn imports.     Asked about the Canadian government decision to apply a duty of 84.9 cents per bushel on U.S. corn shipments, Yeutter said the U.S. could file a formal complaint with GATT under the dispute settlement procedures of the subsidies code.     Other U.S. options would be to appeal the decision in Canadian courts, or to retaliate against Canadian goods, a lower-level U.S. trade official said. However, retaliation is an unlikely step, at least initially, that official said. No decision on U.S. action is expected at least until after documents on the ruling are received here later this week.  Reuter &#3;",1,0,0,0,0
13,"TRADE SEES STEADY CORN/WHEAT EXPORT INSPECTIONS The USDA's weekly export inspection report is expected to show steady corn and wheat exports and lower soybean exports, according to CBT floor traders' forecasts.     Traders projected soybean exports at 16 mln to 18 mln bushels, down from 18.6 mln bushels a week ago and 20.3 mln bushels a year ago.     Corn guesses ranged from 22 mln to 26 mln bushels, compared with 25.2 mln bushels a week ago and 22.4 million bushels a year ago.     Wheat guesses ranged from 13 mln to 17 mln bushels, compared with 16.8 mln bushels a week ago and 13.4 mln bushels a year ago.  Reuter &#3;",1,0,0,1,1
14,"USDA DETAILS CONSERVATION CROP ENROLLMENT Farmers enrolled over 6.5 mln acres of program crops in the latest conservation reserve program signup and around four mln acres of non-program crops, Agriculture Department conservation specialists said.     Soybean acreage amounted to less than two mln acres of the non-program crop acreage enrolled, a USDA analyst said. Heavy enrollment of non-base acreage in wheat states, of which a big percentage would be fallow and non-soybean land, accounted for a large portion of the non-program acreage, the analyst said.     Wheat and corn acreage comprised slightly over 40 pct of the total 10,572,402 acres accepted into the ten-year program.     USDA analysts gave the following enrollment breakdown:     -- wheat  2,615,140 acres     -- corn   1,894,764 acres     -- barley   705,888 acres     -- sorghum  585,552 acres     -- cotton   417,893 acres     -- rice       2,035 acres     -- peanuts      611 acres     -- tobacco      285 acres     -- total program crops  6,512,700 acres     -- total nonprogram     4,059,702 acres     -- total enrollment    10,572,402 acres     USDA analysts are currently working on a complete state breakdown of crop acreage enrollment and should have it ready for publication later this week, they said.  Reuter &#3;",1,1,1,1,1
15,"PL 480 COMMODITIES FOR HONDURAS -- USDA The United States has signed a Public Law 480 agreement with Honduras to provide for the sale of 12.0 mln dlrs worth of U.S. agricultural commodities, the U.S. Agriculture Department said.     The agreement, signed March 11, provides for the sale of about 75,000 tonnes of wheat/wheat flour worth 8.5 mln dlrs, 15,000 tonnes of corn/sorghum worth 1.5 mln dlrs and 6,000 tonnes of tallow worth 2.0 mln dlrs, the department said.     The commodities will be supplied in the current fiscal year, ending September 30, and sales will be by private U.S. traders on a competitive bid basis.     Purchase authorizations will be announced as issued.  Reuter &#3;",1,0,0,0,1
16,"SENS. DANFORTH, BOND ASK TARGETED 0/92 MEASURE Missouri Republican Senators John Danforth and Christopher Bond have introduced a bill that would allow wheat and feedgrain producers along the Mississippi and Missouri Rivers hurt by flooding last year to collect at least 92 pct of their deficiency payments this year without planting.     Danforth aide Austin Schlick said the bill was similar to a provision included in a House Agriculture Committee-passed emergency disaster assistance bill scheduled to be taken up by the House tomorrow.     Schlick said flooding destroyed a number of levees along the two rivers last October, leaving farmland there vulnerable to further damage this year.  Reuter &#3;",0,0,0,0,1
17,"NEW EEP DURUM WHEAT OFFER TO ALGERIA -- USDA U.S. exporters will have the opportunity to sell an additional 300,000 tonnes of U.S. durum wheat to Algeria under the Export Enhancement Program, EEP, the U.S. Agriculture Department said.     The department said the sales will be subsidized with commodities from the Commodity Credit Corporation, CCC, inventory and the subsidy will enable U.S. exports to compete at commercial prices in the Algerian market.     Algeria has already purchased 300,000 tonnes of U.S. durum wheat under a previous export enhancement initiative announced November 10, 1986, it said.     Details of the latest initiative, including an invitation for offers from exporters, will be issued in the near future, the department said.  Reuter &#3;",0,0,0,0,1
18,"SOYBEAN GROUPS MEET WITH LYNG TO DISCUSS LOAN A high-level meeting last week which included the Secretary of Agriculture and other senior  USDA officials, along with leaders of the major soybean lobbying groups, failed to reach any decision on what should be done about the soybean loan level, participants at the meeting told Reuters.     ""We didn't feel a lot was accomplished last week, but we were delighted to meet with the Secretary, and he didn't close the door on anything,"" a member of the soybean delegation said.     At issue is the current soybean loan and the fact that at the present level of 4.77 dlrs (without Gramm-Rudman reductions) it encourages foreign soybean production by making soybeans more profitable to grow than corn.     But while recognizing that soybeans are priced too high in relation with corn, soybean groups have pledged their support to maintaining current price supports for soybean growers.     Leaders of the American Soybean Association and the National Soybean Processors Association offered specific loan options to USDA Secretary Lyng in last week's meeting, but participants would not reveal what those options were.     ""There were no surprises in our package,"" one participant said. Bandied about for several weeks has been the idea of offering producers soybean loans partially in cash and in certificates.     The most prevailing scheme would be to pay a 4.77 loan with 77 cts worth of soybean-specific certificates which would not have to be paid back and the remaining four dlrs in cash.     This would have the effect of lowering the world price, maintaining domestic support levels and reducing the government's soybean inventory.     A marketing loan for soybeans was not discussed at last week's meeting, participants said.     One member of the soybean delegation said that the meeting was a ""listening session"" for USDA, and that the proposals will now be studied further by the Department.     USDA officials, however, would not commit to any time frame. Participants in the meeting do not look for changes in the soybean loan to be announced in the near future.     ""USDA is very sensitive about saying anything that could influence the market, so the Secretary was very non-committal,"" a participant said.  Reuter &#3;",0,0,0,1,0
19,"ZIMBABWE MAIZE OUTPUT TO FALL 65 PCT Maize deliveries to Zimbabwe's state-owned Grain Marketing Board (GMB) will fall by over 65 pct this year, following a prolonged dry spell, agricultural industry sources said.     They said 1987 maize deliveries are expected to decline to around 520,000 tonnes from 1.6 mln tonnes last year. About 60 pct of the maize will be delivered by large-scale commercial farmers and the balance by small-scale peasant producers.     Although this will be the lowest level of maize deliveries since 1980, the sources said there is no danger of a food shortage in Zimbabwe.     While annual maize consumption is estimated at 750,000 tonnes, the GMB stockpile is currently around 1.8 mln tonnes, which means that even with the sharply reduced production this year Zimbabwe has enough maize for the next three years.     The sources said the lower maize crop would be offset by a 25 pct increase in cotton production to 315,000 tonnes from 248,000 tonnes last year, and by a rise of 20 pct in soybean deliveries to 100,000 tonnes from 84,000 tonnes in 1986.   REUTER &#3;",1,0,0,0,0
20,"TAIWAN TO TENDER FOR 450,000 TONNES U.S. CORN Taiwan is scheduled to tender tonight for 450,000 to 475,000 tonnes U.S. corn, export sources said.     The tender calls for 11 cargoes for delivery from April through October with early shipments FOB or Pacific Northwest, they said.  Reuter &#3;",1,0,0,0,0
1,"TAIWAN BUYS 32,000 TONNES OF U.S. SOYBEANS The joint committee of Taiwan's soybean importers awarded a contract to Cargill Inc of Minneapolis, Minnesota, for supply of one 32,000 tonne cargo of U.S. Soybeans, a committee spokesman told Reuters.     The cargo, priced at 249.10 U.S. Dlrs per tonne c and f Taiwan, is set for delivery before July 7, he said.     The committee cancelled a tender for another cargo because the prices offered by U.S. Suppliers were too high, he added.  REUTER &#3;",0,0,0,1,0
2,"AGENCY HEAD SAYS JAPAN SHOULD CUT RICE PRICE The government should cut its consumer rice price if the official producer price is reduced next month, Tetsuo Kondo, director general of the government's Economic Planning Agency (EPA), told reporters.     Kondo said after a cabinet meeting that consumers should receive the benefits of the falling costs of rice farming due to the strong yen and lower oil prices.     Agriculture Ministry sources said the producer rice price paid to rice farmers would be cut after discussions by the Rice Price Council, an advisory body to the ministry, on July 1 and 2. The consumer rice price is usually set in December.  REUTER &#3;",0,0,1,0,0
3,"GHANA LIFTS RICE/MAIZE IMPORT BAN DUE TO DROUGHT Ghana has lifted a ban on rice and maize imports due to crop problems caused by unusually dry weather, the official Ghana News Agency (GNA) reported today.     Secretary for Finance and Economic Planning Kwesi Botchwey made the announcement last night while accepting 7,891 tonnes of rice worth about four mln dlrs under a Japanese food aid programme.     The lifting of the ban, imposed earlier this year, follows government concern over ""lower than average rainfall in southern Ghana and its implications for the major harvest.""     Botchwey said rain has been lacking in major cereal growing areas throughout the south this year. The Ministry of Agriculture has predicted a fall of at least 25 pct in all major staple crops including maize, rice and cassava.     GNA quoted Botchwey as saying that while the consequences of current reduced rainfall will be nowhere near the drought experiences of 1982/83 the government has taken steps to alleviate anticipated food production shortfalls.     The failure of seasonal rains has already seriously affected drinking water supplies, farming and fishing in parts of the Central and Volta regions of Ghana where rivers have dried up.  Reuter &#3;",1,0,1,0,0
4,"FAILURE OF EC FARM PRICE TALKS DISRUPTS TENDERS There will be no serious bids at European Community open market tenders for wheat and barley until EC farm ministers agree to the 1987/88 farm price package, trade sources said.     The failure of farm ministers this week to come to an agreement resulted in no bids at this week's tender for export subsidies and traders said bids are unlikely as long as the uncertainty remains.     One trader said permanent damage to export prospects can be avoided if an agreemend can be reached soon, but the situation will become more serious as time passes.     However, traders said there seem to be few buyers around, lessening the disruptive impact of the delay.     Poland and South Korea, who are in the market for feed wheat, will be offered intervention grain through special tenders, traders said.  Reuter &#3;",0,0,0,0,1
5,"TUNISIA BUYS 150,000 TONNES FRENCH WHEAT Tunisia has bought 150,000 tonnes of French soft wheat for August to December shipment at 76.70 dlrs per tonne fob with COFACE export credit, trade sources said.     This is the second French soft wheat export sale for the 1987/88 season which starts on July 1 and follows a Brazilian purchase of 150,000 tonnes.     France sold around 300,000 tonnes of soft wheat to Tunisia during the 1986/87 season.  Reuter &#3;",0,0,0,0,1
6,"SASKATCHEWAN CROPS DETERIORATE IN HOT WEATHER Hot, dry weather has caused some deterioration in Saskatchewan crops, according to the Saskatchewan Wheat Pool's weekly crop report.     Rain was needed in the southwest, west-central and northeast regions, and other regions were expected to need rain soon.     Summerfallow crops were in fair to good condition, while stubble crops were rated fair to poor. Wheat, durum, oats and barley crops were all one-pct headed, rye was 40 pct in the milk stage and winter wheat was 21 pct milk stage.     Flax was 51 pct tillering, and canola was 58 pct tillering.     Areas of the southern grain belt were hit by high winds and hail Tuesday, with some damage reported.  Reuter &#3;",0,0,0,0,1
7,"BRAZIL BUYS FRENCH WHEAT AT TENDER Brazil has bought 75,000 tonnes of French wheat at tender, a Brazilian Wheat Board spokesman said.     He said the Board accepted offers for 25,000 tonnes of wheat from grain firm J. Souffle at 80.49 dlrs per tonne Fob for August shipment.     For September shipment, the Board bought 25,000 tonnes from Graniere at 79.32 dlrs per tonne Fob, and for October shipment it accepted 25,000 tonnes from Andre and Companie at 79.47 dlrs per tonne Fob.     The next tender, for Aug/Sept/Oct shipment, was set for June 24, the spokesman said.  Reuter &#3;",0,0,0,0,1
8,"CCC CREDIT GUARANTEES TO EL SALVADOR REALLOCATED The Commodity Credit Corporation (CCC) has reallocated 1.3 mln dlrs in credit guarantees originally granted to cover the sale of protein meals to El Salvador so it may buy rice, the U.S. Agriculture Department said.     The action reduces the guarantee line authorized for sales of protein meals to 12.7 mln dlrs and creates a rice credit guarantee line of 1.3 mln dlrs, the department said.     All sales under the credit guarantee lines must be registered and exports completed by September 30, the department said.  Reuter &#3;",0,0,1,0,0
9,"POLISH FARM PRICES AND COSTS TO RISE FROM JULY Polish farmers will receive price rises ranging from 13.4 pct for some crops to 23.3 pct for meat from July 1, the Finance and Agriculture ministries said.     The state procurement price for rape will rise 13.4 pct to 5,500 zloties per quintal, while wheat and rye will go up an average 18.2 pct to 3,100 and 2,400 zloties per quintal. Pork will rise by 18.8 pct and beef 23.3 pct.     The ministries said the new prices aimed to ensure farmers' profits and meet higher living costs. But at the same time they said fertilisers would rise by an average 50 pct, animal feeds by 38 pct and tractors by 25 pct.  REUTER &#3;",0,0,0,0,1
10,"IVORY COAST WEATHER NO PROBLEM FOR 1986/87 CROPS Ivory Coast rainfall this season has been less than in previous years, but 1986/87 cocoa and coffee production has not suffered, the official Ivorian daily Fraternite Matin reported.     The newspaper did not speculate on whether recent dry conditions seriously threatened the main 1987/88 cocoa crop. Trade sources said the weather up to now could be irrelevant if there is good rainfall in coming weeks.     Precipitation during the present campaign has been lowest in northern savannah regions, where the cotton crop has especially benefitted from the dry weather, Fraternite Matin said.     Agriculture Minister Denis Bra Kanon said earlier this month 1986/87 cotton output would be a record 213,506 tonnes, compared with 190,000 tonnes in 1985/86.     Fraternite Matin said the mainstays of Ivorian agriculture had been little affected by the dry weather. Coffee does not need very much water to survive and only old cocoa plants have been affected in some regions, it added.     London-based dealer Gill and Duffus recently forecast 1986/87 Ivory Coast cocoa output at a record 590,000 tonnes, which compares with 585,000 estimated for 1985/86. It described early development of the new main crop as patchy.     The U.S. Agriculture Department (USDA) earlier this year forecast a drop in 1986/87 coffee production in the Ivory Coast due to drought in the western part of the country. It estimated the crop at 3.84 mln bags compared with the previous year's 4.33 mln bag harvest.     Ivorian officials have only described this year's coffee crop as ""normal.""  REUTER &#3;",0,1,0,0,0
11,"STALEY &lt;STA> SELLS INTEREST IN SPANISH VENTURE Staley Continental Inc said it sold its 50 interest in Sociedad Iberica de Molturacion, S.A. (Simsa), a soybean and sunflower seed processing company based in Madrid, Spain.     Staley's investment in Simsa no longer fit its overall coporate strategy and an agreement to sell the interest was completed in May, it said.     Staley said the Simsa transaction will not have a material effect on its balance sheet.  Reuter &#3;",0,0,0,1,0
12,"DANISH CROPS TWO WEEKS BEHIND, OFFICIAL REPORT Danish crops are up to two weeks behind normal growth levels due to the cold weather in May and June, when mean temperatures were up to four centigrade below average, the State Plant Cultivation Bureau said in a report.     At the season's first crop test on June 26, the bureau rated crops at an overall 94, the same as on June 20 last year. The figure of 100 represents normal in a year of average growth conditions with no crop damage.     The test gave ratings expressed as a factor of 100, as follows - winter wheat 96 (last year 91), winter rye 97 (98), winter barley 92 (90), spring barley 94 (98), oats 96 (98), fodder and sugar beets 87 (96), winter rapeseed 98 (94), spring rapeseed 94 (98).     Final harvest figures for 1986 were not yet available.  Reuter &#3;",0,0,0,0,1
13,"INDIA RELAXES RULES FOR EXPORT PROMOTION The Reserve Bank of India, RBI, announced new rules to allow exporters of 25 products to use foreign exchange up to 10 pct of their firm's total annual export earnings for export promotion abroad.     The move is designed by the government to improve India's trade deficit.     Products eligible for the new Blanket Exchange Permit Scheme include tea bags, cigarettes, coffee, leather, various textiles, chemicals, pharmaceuticals, plastics, engineering and electronic goods, ready-made garments, processed food, sports goods, fabricated mica and consultancy services.     The scheme replaces current rules which allow different amounts of foreign exchange to be used only when firms attain a minimum annual turnover prescribed for each product.     RBI said under the new rule, 16 other products will qualify, on a discretionary basis, for overseas promotional spending of not more than two pct of the freight-on-board value of annual export earnings.     These include oil cakes, cereals, raw cotton, raw and semi-processed leather, gems, castor and sandalwood oil, psyllium husks and seeds, opium and various mineral ores.     RBI said exporters of products not covered by either of the two groups will be eligible to use up to five pct of their freight-on-board value of their annual export earnings.     Industry sources said the new entitlements, considerably higher than the previous limits, are also more flexible because holders of new permits no longer need to frequently apply to RBI for release of foreign exchange for export purposes.  Reuter &#3;",0,1,0,0,0
14,"RAINS HELP U.S. WESTERN CORN BELT, MORE SEEN Weekend rain over the Western Corn Belt brought further relief to crop areas that had been dry earlier this month, and developing weather patterns will bring welcome moisture to central and eastern belt locations this week, according to Dale Mohler, senior meteorologist for Accu-Weather Inc.     ""There is going to be more rain for the next two, three days,"" he said. ""We're in a fairly wet pattern with normal to above normal moisture this week.""     Mohler said rainfall averaged 1/2 inch across southern Minnesota, 3/4 inch over southwest Iowa, one inch in eastern Nebraska and 1-1/2 inches in south-central Nebraska.     Illinois fields saw virtually no rain over the weekend but were receiving scattered thundershower activity today, he said.     Rain patterns will move across Indiana to Ohio with thudershower activity yielding to more general rains, he said.     ""Tomorrow, that eastern area will get 1/4 to one inch, a pretty good rain,"" Mohler said.     Rain was heavier than expected over the weekend, sparking an early selloff in soybean futures at the Chicago Board of Trade. Prices were off 14 to 20-1/2 cents with November off 19-1/2 cents at 5.43-1/2 dlrs.     Mohler said the cold front now over the eastern belt is expected to move over the central Midwest, then move north later in the week. That could bring new rain patterns across the Corn Belt and assure good crop conditions as early-developed corn moves into the crucial pollination stage in early July, he said.  Reuter &#3;",1,0,0,1,0
